Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U2 error rate,CNOT error rate,Date
Q0,74.23838824906248,20.19605913601681,5.100162077946126,2.1500000000000075e-2,5.37996280495688e-4,"cx0_1: 1.815e-2, cx0_14: 3.190e-2",Wed May 20 2020 02:16:25 GMT-0700 (Pacific Daylight Time)
Q1,78.40230732028368,122.31002192054777,5.238467455738996,8.750000000000002e-2,8.850832092645579e-4,"cx1_0: 1.815e-2, cx1_2: 1.763e-2, cx1_13: 6.346e-2",Wed May 20 2020 02:16:25 GMT-0700 (Pacific Daylight Time)
Q2,65.01988555032104,95.9265106904336,5.032824231486868,3.8999999999999924e-2,9.567180863710265e-4,"cx2_1: 1.763e-2, cx2_3: 1.796e-2, cx2_12: 3.569e-2",Wed May 20 2020 02:16:25 GMT-0700 (Pacific Daylight Time)
Q3,85.20288488381821,63.71314420482039,4.896091075210209,3.600000000000003e-2,3.7181713432359997e-4,"cx3_2: 1.796e-2, cx3_4: 2.302e-2, cx3_11: 3.199e-2",Wed May 20 2020 02:16:25 GMT-0700 (Pacific Daylight Time)
Q4,78.83142681942378,21.374743780281527,5.026219559435242,2.0499999999999963e-2,1.6689801870514596e-3,"cx4_3: 2.302e-2, cx4_5: 3.989e-2, cx4_10: 4.734e-2",Wed May 20 2020 02:16:25 GMT-0700 (Pacific Daylight Time)
Q5,18.60695492477422,41.33989800959784,5.066769673220021,7.099999999999995e-2,3.1490498895087116e-3,"cx5_4: 3.989e-2, cx5_6: 4.434e-2, cx5_9: 4.444e-2",Wed May 20 2020 02:16:25 GMT-0700 (Pacific Daylight Time)
Q6,73.14920286637404,67.86991101470754,4.924050103227778,3.300000000000003e-2,1.647013951955363e-3,"cx6_5: 4.434e-2, cx6_8: 3.767e-2",Wed May 20 2020 02:16:25 GMT-0700 (Pacific Daylight Time)
Q7,45.73630295516557,87.22379734553168,4.974508725479854,3.749999999999998e-2,1.3872227525913963e-3,"cx7_8: 3.428e-2",Wed May 20 2020 02:16:25 GMT-0700 (Pacific Daylight Time)
Q8,42.44184815855668,73.97233027308914,4.74066547315206,2.815e-1,1.5814789822546295e-3,"cx8_6: 3.767e-2, cx8_7: 3.428e-2, cx8_9: 4.362e-2",Wed May 20 2020 02:16:25 GMT-0700 (Pacific Daylight Time)
Q9,43.73717836399077,38.58104612215362,4.963294527210945,4.200000000000004e-2,1.9903256174520346e-3,"cx9_5: 4.444e-2, cx9_8: 4.362e-2, cx9_10: 3.893e-2",Wed May 20 2020 02:16:25 GMT-0700 (Pacific Daylight Time)
Q10,59.652005873566694,52.91621133561931,4.945206133618746,4.349999999999998e-2,1.1951411223798955e-3,"cx10_4: 4.734e-2, cx10_9: 3.893e-2, cx10_11: 3.067e-2",Wed May 20 2020 02:16:25 GMT-0700 (Pacific Daylight Time)
Q11,63.22618258343175,54.18816705786576,5.004825308121466,3.499999999999992e-2,2.889579677343475e-3,"cx11_3: 3.199e-2, cx11_10: 3.067e-2, cx11_12: 3.222e-2",Wed May 20 2020 02:16:25 GMT-0700 (Pacific Daylight Time)
Q12,105.91730869974631,47.8026928112591,4.759993805340492,3.550000000000009e-2,6.979448828174155e-4,"cx12_2: 3.569e-2, cx12_11: 3.222e-2, cx12_13: 3.111e-2",Wed May 20 2020 02:16:25 GMT-0700 (Pacific Daylight Time)
Q13,22.79263229822312,53.36309727822752,4.968329161615263,9.850000000000003e-2,2.1436339683815675e-3,"cx13_1: 6.346e-2, cx13_12: 3.111e-2, cx13_14: 5.857e-2",Wed May 20 2020 02:16:25 GMT-0700 (Pacific Daylight Time)
Q14,37.737231295341005,29.157100601413607,5.001491738809652,8.650000000000002e-2,1.6110969400251064e-3,"cx14_0: 3.190e-2, cx14_13: 5.857e-2",Wed May 20 2020 02:16:25 GMT-0700 (Pacific Daylight Time)
